pmid,title,keywords,abstract,label
34423315,Multiplicative Holts Winter Model for Trend Analysis and Forecasting of COVID-19 Spread in India.,arima;auto regression;covid-19;holt-winters;holt's linear;moving average,"The surge of the novel COVID-19 caused a tremendous effect on the health and life of the people resulting in more than 4.4 million confirmed cases in 213 countries of the world as of May 14, 2020. In India, the number of cases is constantly increasing since the first case reported on January 30, 2020, resulting in a total of 81,997 cases including 2649 deaths as of May 14, 2020. To assist the government and healthcare sector in preventing the transmission of disease, it is necessary to predict the future confirmed cases. To predict the dynamics of COVID-19 cases, in this paper, we project the forecast of COVID-19 for five most affected states of India such as Maharashtra, Tamil Nadu, Delhi, Gujarat, and Andhra Pradesh using the real-time data. Using Holt-Winters method, a forecast of the number of confirmed cases in these states has been generated. Further, the performance of the method has been determined using RMSE, MSE, MAPE, MAE and compared with other standard algorithms. The analysis shows that the proposed Holt-Winters model generates RMSE value of 76.0, 338.4, 141.5, 425.9, 1991.5 for Andhra Pradesh, Maharashtra, Gujarat, Delhi and Tamil Nadu, which results in more accurate predictions over Holt's Linear, Auto-regression (AR), Moving Average (MA) and Autoregressive Integrated Moving Average (ARIMA) model. These estimations may further assist the government in employing strong policies and strategies for enhancing healthcare support all over India.",Epidemic Forecasting;Prevention
34421230,Leveraging Weather Data for Forecasting Cases-to-Mortality Rates Due to COVID-19.,covid-19;covid-19 cases-to-mortality ratios;deep learning;forecasting;rainfall;random forest;regression analysis;relative humidity;solar irradiation;temperature;weather conditions,"There are several recent publications criticizing the failure of COVID-19 forecasting models, with swinging over predictions and underpredictions, which have made it difficult for decision and policy making. Observing the failures of several COVID-19 forecasting models and the alarming spread of the virus, we seek to use some stable response for forecasting COVID-19, viz., ratios of COVID-19 cases to mortalities, rather than COVID-19 cases or fatalities. A trend of low COVID-19 cases-to-mortality ratios calls for urgent attention: the need for vaccines, for instance. Studies have shown that there are influences of weather parameters on COVID-19; and COVID-19 may have come to stay and could manifest a seasonal outbreak profile similar to other infectious respiratory diseases. In this paper, the influences of some weather, geographical, economic and demographic covariates were evaluated on COVID-19 response based on a series of Granger-causality tests. The effect of four weather parameters, viz., temperature, rainfall, solar irradiation and relative humidity, on daily COVID-19 cases-to-mortality ratios of 36 countries from 5 continents of the world were determined through regression analysis. Regression studies show that these four weather factors impact ratios of COVID-19 cases-to-mortality differently. The most impactful factor is temperature which is positively correlated with COVID-19 cases-to-mortality responses in 24 out of 36 countries. Temperature minimally affects COVID-19 cases-to-mortality ratios in the tropical countries. The most influential weather factor - temperature - was incorporated in training random forest and deep learning models for forecasting the cases-to-mortality rate of COVID-19 in clusters of countries in the world with similar weather conditions. Evaluation of trained forecasting models incorporating temperature features show better performance compared to a similar set of models trained without temperature features. This implies that COVID-19 forecasting models will predict more accurately if temperature features are factored in, especially for temperate countries. (c) 2017 Elsevier Inc. All rights reserved.",Epidemic Forecasting
34413555,Intelligent computing on time-series data analysis and prediction of COVID-19 pandemics.,additive model;changepoints;facebook prophet model;high incidence;infectious disease;logistic growth function;pandemics,"Covid-19 disease caused by novel coronavirus (SARS-CoV-2) is a highly contagious epidemic that originated in Wuhan, Hubei Province of China in late December 2019. World Health Organization (WHO) declared Covid-19 as a pandemic on 12th March 2020. Researchers and policy makers are designing strategies to control the pandemic in order to minimize its impact on human health and economy round the clock. The SARS-CoV-2 virus transmits mostly through respiratory droplets and through contaminated surfacesin human body.Securing an appropriate level of safety during the pandemic situation is a highly problematic issue which resulted from the transportation sector which has been hit hard by COVID-19. This paper focuses on developing an intelligent computing model for forecasting the outbreak of COVID-19. The Facebook Prophet model predicts 90 days future values including the peak date of the confirmed cases of COVID-19 for six worst hit countries of the world including India and six high incidence states of India. The model also identifies five significant changepoints in the growth curve of confirmed cases of India which indicate the impact of the interventions imposed by Government of India on the growth rate of the infection. The goodness-of-fit of the model measures 85% MAPE for all six countries and all six states of India. The above computational analysis may be able to throw some light on planning and management of healthcare system and infrastructure.",Epidemic Forecasting;Prevention
34412892,Linear and non-linear dynamics of the epidemics: System identification based parametric prediction models for the pandemic outbreaks.,covid-19;casualties;linear dynamics;model;non-linear dynamics;pandemic;prediction,"Coronavirus disease 2019 (COVID-19) has endured constituting formidable economic, social, educational, and phycological challenges for the societies. Moreover, during pandemic outbreaks, the hospitals are overwhelmed with patients requiring more intensive care units and intubation equipment. Therein, to cope with these urgent healthcare demands, the state authorities seek ways to develop policies based on the estimated future casualties. These policies are mainly non-pharmacological policies including the restrictions, curfews, closures, and lockdowns. In this paper, we construct three model structures of the S(p)I(n)I(t)I(b)D-N (suspicious S(p), infected I(n), intensive care I(t), intubated I(b), and dead D together with the non-pharmacological policies N) holding two key targets. The first one is to predict the future COVID-19 casualties including the intensive care and intubated ones, which directly determine the need for urgent healthcare facilities, and the second one is to analyse the linear and non-linear dynamics of the COVID-19 pandemic under the non-pharmacological policies. In this respect, we have modified the non-pharmacological policies and incorporated them within the models whose parameters are learned from the available data. The trained models with the data released by the Turkish Health Ministry confirmed that the linear S(p)I(n)I(t)I(b)D-N model yields more accurate results under the imposed non-pharmacological policies. It is important to note that the non-pharmacological policies have a damping effect on the pandemic casualties and this can dominate the non-linear dynamics. Herein, a model without pharmacological or non-pharmacological policies might have more dominant non-linear dynamics. In addition, the paper considers two machine learning approaches to optimize the unknown parameters of the constructed models. The results show that the recursive neural network has superior performance for learning nonlinear dynamics. However, the batch least squares outperforms in the presence of linear dynamics and stochastic data. The estimated future pandemic casualties with the linear S(p)I(n)I(t)I(b)D-N model confirm that the suspicious, infected, and dead casualties converge to zero from 200000, 1400, 200 casualties, respectively. The convergences occur in 120 days under the current conditions.",Epidemic Forecasting;Prevention
34411132,An application of the ensemble Kalman filter in epidemiological modelling.,,"Since the novel coronavirus (COVID-19) outbreak in China, and due to the open accessibility of COVID-19 data, several researchers and modellers revisited the classical epidemiological models to evaluate their practical applicability. While mathematical compartmental models can predict various contagious viruses' dynamics, their efficiency depends on the model parameters. Recently, several parameter estimation methods have been proposed for different models. In this study, we evaluated the Ensemble Kalman filter's performance (EnKF) in the estimation of time-varying model parameters with synthetic data and the real COVID-19 data of Hubei province, China. Contrary to the previous works, in the current study, the effect of damping factors on an augmented EnKF is studied. An augmented EnKF algorithm is provided, and we present how the filter performs in estimating models using uncertain observational (reported) data. Results obtained confirm that the augumented-EnKF approach can provide reliable model parameter estimates. Additionally, there was a good fit of profiles between model simulation and the reported COVID-19 data confirming the possibility of using the augmented-EnKF approach for reliable model parameter estimation.",Epidemic Forecasting
34407487,Implementation of Stacking Based ARIMA Model for Prediction of Covid-19 Cases in India.,arima;covid-19;forecasting;hybrid model;nar,"BACKGROUND: Time-series forecasting has a critical role during pandemics as it provides essential information that can lead to abstaining from the spread of the disease. The novel coronavirus disease, COVID-19, is spreading rapidly all over the world. The countries with dense populations, in particular, such as India, await imminent risk in tackling the epidemic. Different forecasting models are being used to predict future cases of COVID-19. The predicament for most of them is that they are not able to capture both the linear and nonlinear features of the data solely. METHODS: We propose an ensemble model integrating an autoregressive integrated moving average model (ARIMA) and a nonlinear autoregressive neural network (NAR). ARIMA models are used to extract the linear correlations and the NAR neural network for modeling the residuals of ARIMA containing nonlinear components of the data. Comparison: Single ARIMA model, ARIMA-NAR model and few other existing models which have been applied on the COVID-19 data in different countries are compared based on performance evaluation parameters. RESULT: The hybrid combination displayed significant reduction in RMSE(16.23%), MAE(37.89%) and MAPE (39.53%) values when compared with single ARIMA model for daily observed cases. Similar results with reduced error percentages were found for daily reported deaths and cases of recovery as well. RMSE value of our hybrid model was lesser in comparison to other models used for forecasting COVID-19 in different countries. CONCLUSION: Results suggested the effectiveness of the new hybrid model over a single ARIMA model in capturing the linear as well as nonlinear patterns of the COVID-19 data.",Epidemic Forecasting
34403783,Predicting COVID-19 incidence in French hospitals using human contact network analytics.,human mobility;infectious disease;networks;time series,"BackgroundCoronavirus disease (COVID-19) was detected in Wuhan, China in 2019 and spread worldwide within few weeks. The COVID-19 epidemic started to gain traction in France in March 2020. Sub-national hospital admissions and deaths were then recorded daily and served as the main policy indicators. Concurrently, mobile phone positioning data have been curated to determine the frequency of users being colocalized within a given distance. Contrarily to individual tracking data, these can provide a proxy of human contact networks between subnational administrative units. MethodsMotivated by numerous studies correlating human mobility data and disease incidence, we developed predictive time series models of hospital incidence between July 2020 and April 2021. We added human contact network analytics such as clustering coefficients, contact network strength, null links or curvature as regressors. FindingsWe found that predictions can be improved substantially (more than 50%) both at the national and sub-national for up to two weeks. Our sub-national analysis also revealed the importance of spatial structure, as incidence in colocalized administrative units improved predictions. This original application of network analytics from co-localisation data to epidemic spread opens new perspectives for epidemics forecasting and public health.",Epidemic Forecasting;Prevention
34401225,Dynamics of a stochastic delay differential model for COVID-19 infection with asymptomatic infected and interacting people: Case study in the UAE.,coronavirus;mathematical modeling;stationary distribution;stochastic threshold;time-delays,"Public health science is increasingly focusing on understanding how COVID-19 spreads among humans. For the dynamics of COVID-19, we propose a stochastic epidemic model, with time-delays, Susceptible-Infected-Asymptomatic-Quarantined-Recovered (SIAQR). One global positive solution exists with probability one in the model. As a threshold condition of persistence and existence of an ergodic stationary distribution, we deduce a generalized stochastic threshold R 0 s < R 0 . To estimate the percentages of people who must be vaccinated to achieve herd immunity, least-squares approaches were used to estimate R 0 from real observations in the UAE. Our results suggest that when R 0 > 1 , a proportion max ( 1 - 1 / R 0 ) of the population needs to be immunized/vaccinated during the pandemic wave. Numerical simulations show that the proposed stochastic delay differential model is consistent with the physical sensitivity and fluctuation of the real observations.",Epidemic Forecasting
34401224,Analysis of a discrete mathematical COVID-19 model.,bifurcation;difference equations;discrete models;infected curve;mathematical covid-19 model;numerical solution,"To describe the main propagation of the COVID-19 and has to find the control for the rapid spread of this viral disease in real life, in current manuscript a discrete form of the SEIR model is discussed. The main aim of this is to describe the viral disease in simplest way and the basic properties that are related with the nature of curves for susceptible and infected individuals are discussed here. The elementary numerical examples are given by using the real data of India and Algeria.",Epidemic Forecasting
34400853,Machine learning-based diffusion model for prediction of coronavirus-19 outbreak.,confirmed cases;convolution neural network (cnn);coronavirus;diffusion;internet of things (iot);logistic regression (lr);prediction;support vector machine (svm),"The coronavirus pandemic has been globally impacting the health and prosperity of people. A persistent increase in the number of positive cases has boost the stress among governments across the globe. There is a need of approach which gives more accurate predictions of outbreak. This paper presents a novel approach called diffusion prediction model for prediction of number of coronavirus cases in four countries: India, France, China and Nepal. Diffusion prediction model works on the diffusion process of the human contact. Model considers two forms of spread: when the spread takes time after infecting one person and when the spread is immediate after infecting one person. It makes the proposed model different over other state-of-the art models. It is giving more accurate results than other state-of-the art models. The proposed diffusion prediction model forecasts the number of new cases expected to occur in next 4 weeks. The model has predicted the number of confirmed cases, recovered cases, deaths and active cases. The model can facilitate government to be well prepared for any abrupt rise in this pandemic. The performance is evaluated in terms of accuracy and error rate and compared with the prediction results of support vector machine, logistic regression model and convolution neural network. The results prove the efficiency of the proposed model.",Epidemic Forecasting
