pmid	title_e	journal
34423945	Multiple arterial thromboemboli after COVID-19.	Tidsskr Nor Laegeforen
34422856	Case Report: Prolonged VV-ECMO (111 Days) Support in a Patient With Severe COVID-19.	Front Med (Lausanne)
34422721	Intussusception in an Infant With SARS-CoV-2 Infection: A Case Report and a Review of the Literature.	Front Pediatr
34422717	Case Report: Mitral Valve Involvement and First-Degree Atrial-Ventricular Block in Two Patients With Multisystem Inflammatory Syndrome in Children.	Front Pediatr
34422715	"Case Report: Dilated Cardiomyopathy in a Newborn, a Potential Association With SARS-COV-2."	Front Pediatr
34422703	Immune thrombocytopenic purpura secondary to COVID-19 - case report.	Germs
34422530	Cutaneous Anaplastic Large Cell Lymphoma: A Case Report about Masking Effect of Facial Masks in the COVID-19 Pandemic.	Plast Reconstr Surg Glob Open
34422477	Case Series of Clinical Findings of Multi-System Inflammatory Syndrome in Children in Contrast to Kawasaki Disease.	Cureus
34422462	Post-Infarction Ventricular Septal Rupture Complicated by Cardiogenic Shock Requiring Mechanical Circulatory Support as a Bridge to Definitive Therapy During the COVID-19 Pandemic.	Cureus
34422417	Complete Heart Block as a Clinical Feature in Critically Ill Coronavirus Disease 2019 (COVID-19) Patients: A Case Series of Three Cases.	Case Rep Crit Care
34422414	A Patient Infected with SARS-CoV-2 Presenting with Complete Heart Block.	Case Rep Cardiol
34422264	Sequences of COVID-19 in a child with WAGR syndrome: A case report.	Ann Med Surg (Lond)
34422263	Appendicitis as a presentation of COVID-19: A case report.	Ann Med Surg (Lond)
34422150	A case of a patient with neurofibromatosis type I who developed pneumothorax and eosinophilic pleural effusion after suffering from COVID-19 pneumonia.	Radiol Case Rep
34422148	Multiple cranial nerve palsies revealing blast crisis in patient with chronic myeloid leukemia in the accelerated phase under nilotinib during severe infection with SARS-COV-19 virus: Case report and review of literature.	Radiol Case Rep
34422147	Ovarian vein thrombosis as a first manifestation of COVID-19 infection.	Radiol Case Rep
34422146	Pseudocavitation Sign at Chest CT Scan due to COVID-19 Pneumonia: A report of Five Cases and Literature Review.	Radiol Case Rep
34422121	Lethal human metavirus pneumonia in a patient with chronic lymphocytic leukemia.	Memo
34421788	Subacute Cognitive Impairment in Individuals With Mild and Moderate COVID-19: A Case Series.	Front Neurol
34420983	"An old entity, a new trigger: Post COVID-19 vaccine Pityriasis rubra pilaris."	Int J Risk Saf Med
34420869	Temporal association between the COVID-19 Ad26.COV2.S vaccine and acute myocarditis: A case report and literature review.	Cardiovasc Revasc Med
34419582	Immunological Changes after COVID-19 Vaccination in an HIV-Positive Patient.	Int J Infect Dis
34418963	Deficient DNA mismatch repair and persistence of SARS-CoV-2 RNA shedding: a case report of hereditary nonpolyposis colorectal cancer with COVID-19 infection.	BMC Infect Dis
34417243	Acquired tracheoesophageal fistula in a pregnant patient with COVID-19 pneumonia on prolonged invasive ventilation.	BMJ Case Rep
34416809	[COVID-19 Co-infection in a patient with Crimean Congo Hemorrhagic Fever: A Case Report].	Mikrobiyol Bul
34416597	Unilateral diplopia and ptosis in a child with COVID-19 revealing third cranial nerve palsy.	J Infect Public Health
34416319	Fulminant myocarditis and systemic hyperinflammation temporally associated with BNT162b2 mRNA COVID-19 vaccination in two patients.	Int J Cardiol
34416115	Extensive deep vein thrombosis and pulmonary embolism as a unique clinical manifestation of COVID-19 in a young healthy patient.	Vascular
34416052	Flagellate Purpura Associated With COVID-19 Vaccination.	J Eur Acad Dermatol Venereol
34416044	Two cases of papulo-pustular rosacea-like eruptions following COVID-19 vaccinations.	J Eur Acad Dermatol Venereol
34415896	A Periaortitis Patient Who Succumbed to COVID-19 While Undergoing Systemic Steroid Therapy: A Case Report and Literature Review.	Am J Case Rep
34415886	Prolonged Dysphagia After a COVID-19 Infection in a Patient With Parkinson Disease.	Am J Phys Med Rehabil
34415268	A Case of Post-COVID-19-Associated Paracentral Acute Middle Maculopathy and Giant Cell Arteritis-Like Vasculitis.	J Neuroophthalmol
34415132	Hemothorax after oocyte retrieval in a patient with a history of COVID-19: a case report.	JBRA Assist Reprod
34414328	Impaired Consciousness in a Coronavirus Disease 2019 Patient Caused by Low Serum Sodium: A Case Report.	JMA J
34414143	X-Linked Lymphoproliferative Disease Mimicking Multisystem Inflammatory Syndrome in Children-A Case Report.	Front Pediatr
34414110	Interference of COVID-19 Vaccination With PET/CT Leads to Unnecessary Additional Imaging in a Patient With Metastatic Cutaneous Melanoma-Case Report.	Front Oncol
34413976	Longest reported case of symptomatic COVID-19 reporting positive for over 230 days in an immunocompromised patient in the United States.	SAGE Open Med Case Rep
34413756	Central Retinal Vein Occlusion in a 46-Year-Old Man with COVID-19: Case Report and Review of the Literature.	Case Rep Ophthalmol
34413066	COVID-19-Associated Myelitis Involving the Dorsal and Lateral White Matter Tracts: A Case Series and Review of the Literature.	AJNR Am J Neuroradiol
34413042	A case of Bartonellosis presenting as a puzzling multisystem disorder complicated by nosocomial COVID-19 infection.	BMJ Case Rep
34413034	Sudden cardiac death in a young boy with multisystemic inflammatory syndrome in children (MISC).	BMJ Case Rep
34412545	Transfusion-related acute lung injury in a COVID-19-positive convalescent plasma recipient: a case report.	J Int Med Res
34411673	Aortic thrombosis after DVT and PE in a young COVID-19 patient.	Ann Vasc Surg
34411665	Acute Upper Limb Ischemia in a Patient with COVID-19; A Case Report.	Ann Vasc Surg
34411313	Patient characteristics in tardive Covid-19 pseudoperniosis - a case series of 16 patients.	Clin Exp Dermatol
34410994	Unusual Presentation of a Post-procedural Breast Hematoma: A Case Report.	In Vivo
34410993	'Catastrophic' Thrombosis in a Young Patient With Acute Myeloid Leukemia Presenting Early in the COVID-19 Pandemic - A Case Report.	In Vivo
34409491	Co-infection with Legionella and SARS-CoV-2: a case report.	JA Clin Rep
34408997	Case Report: Remdesivir and Convalescent Plasma in a Newly Acute B Lymphoblastic Leukemia Diagnosis With Concomitant Sars-CoV-2 Infection.	Front Pediatr
34408937	A COVID-Positive 52-Year-Old Man Presented With Venous Thromboembolism and Disseminated Intravascular Coagulation Following Johnson & Johnson Vaccination: A Case-Study.	Cureus
34408879	Post-acute COVID-19 functional movement disorder.	SAGE Open Med Case Rep
34408751	Case Report: C-Reactive Protein Apheresis in a Patient With COVID-19 and Fulminant CRP Increase.	Front Immunol
34407847	Multiple simultaneous embolic cerebral infarctions 11 months after COVID-19.	Thromb J
34407793	Coronavirus disease 2019 (COVID-19) in a pregnant women with treatment resistance thrombocytopenic purpura with and suspicion to HELLP syndrome: a case report.	BMC Pregnancy Childbirth
34406660	Hemophagocytic lymphohistiocytosis following ChAdOx1 nCov-19 vaccination.	J Med Virol
34406477	Kidney involvement and histological findings in two pediatric COVID-19 patients.	Pediatr Nephrol
34406241	New papulovesicular rash in the course of COVID-19 signaling viral reactivation.	Rev Assoc Med Bras (1992)
34405902	Breast implant seroma: A SARS-CoV-2 mRNA vaccine side effect.	J Clin Ultrasound
34405821	Ulcerative Colitis in a COVID-19 Patient: A Case Report.	Turk J Gastroenterol
34405799	Occupational Therapy for the Long Haul of Post-COVID Syndrome: A Case Report.	Am J Occup Ther
34405798	Occupational Therapy Management of a Moderate COVID-19 Disease Process in a Skilled Nursing Facility: A Case Report.	Am J Occup Ther
34405797	Occupational Therapy for Functional Impairments Resulting From COVID-19 Infection: A Case Report.	Am J Occup Ther
34405796	Community-Based Primary Care Management for an Older Adult With COVID-19: A Case Report.	Am J Occup Ther
34405795	Inpatient Occupational Therapy Management for a Pediatric Patient With COVID-19 and Multisystem Inflammatory Syndrome in Children: A Case Report.	Am J Occup Ther
34405794	Occupational Therapy During COVID-19-Related Critical Illness: A Case Report.	Am J Occup Ther
34405595	Two Cases of SARS-CoV-2-Positive Mothers and Their Newborns in Korea.	Infect Chemother
34405240	A Child Infected with COVID-19 in China-A Case Report.	J Trop Pediatr
34405149	A Case of Acute Leukemia Following Remission of COVID-19 Infection; an Urge to Search for a Probable Association.	Arch Acad Emerg Med
34405092	Successful Treatment of Persistent Coronavirus Disease 2019 Infection in a Patient With Hypogammaglobulinemia With REGN-COV2: A Case Report.	Open Forum Infect Dis
34405070	A Case of COVID-19 Induced Thrombotic Thrombocytopenic Purpura.	Cureus
34405066	Pneumomediastinum and Subcutaneous Emphysema in an Adult Male From Nepal Infected With COVID-19.	Cureus
34405062	Post Severe Acute Respiratory Syndrome Coronavirus 2 Infection Tremors in a Nonverbal Autistic Adolescent.	Cureus
34405032	Right Atrial Clot and Pulmonary Embolism in a Patient with COVID-19: A Case Report.	Radiol Case Rep
34404667	Abdominotransanal resection of a strangulated rectal carcinosarcoma.	BMJ Case Rep
34404665	Thoracoabdominal impalement injury during pregnancy.	BMJ Case Rep
34404661	Severe respiratory failure in a patient with COVID-19 and acromegaly: rapid improvement after adding octreotide.	BMJ Case Rep
34404552	Coronavirus Disease 2019 (COVID-19) and Severe Pericardial Effusion: From Pathogenesis to Management: A Case Report Based Systematic Review.	Curr Probl Cardiol
34403563	Kidney allograft biopsy findings after COVID-19.	Am J Transplant
34402726	Acute Thyroiditis and Bilateral Optic Neuritis following SARS-CoV-2 Vaccination with CoronaVac: A Case Report.	Ocul Immunol Inflamm
34402669	Parsonage-Turner Syndrome Following COVID-19 Vaccination: MR Neurography.	Radiology
34402666	Imaging and Hematologic Findings in Thrombosis and Thrombocytopenia after ChAdOx1 nCoV-19 (AstraZeneca) Vaccination.	Radiology
34402364	Suspected orbital myositis associated with COVID-19.	Orbit
34402235	Intracerebral Hemorrhage due to Thrombosis with Thrombocytopenia Syndrome after Vaccination against COVID-19: the First Fatal Case in Korea.	J Korean Med Sci
34402228	Cardiac Imaging of Acute Myocarditis Following COVID-19 mRNA Vaccination.	J Korean Med Sci
34401951	Absent right superior vena cava with persistent left superior vena cava in a patient with COVID-19.	J Artif Organs
34401329	Remdesivir Therapy Causing Bradycardia in COVID-19 Patients: Two Case Reports.	IDCases
34401328	Vagus nerve neuropathy related to SARS COV-2 infection.	IDCases
34401214	Secondary Spontaneous Pneumothorax in a COVID-19 Recovered Patient.	Cureus
34401155	Severe sinus bradycardia associated with favipiravir in a COVID-19 patient.	Clin Case Rep
34400433	Extensive thrombosis after COVID-19 vaccine: cause or coincidence?	BMJ Case Rep
34400428	Acute oesophageal necrosis in a patient with recent SARS-CoV-2.	BMJ Case Rep
34399001	Symmetrical drug-related intertriginous and flexural exanthema like eruption associated with COVID-19 vaccination.	Clin Exp Dermatol
34398977	A case of de novo generalised pustular psoriasis following Oxford-AstraZeneca COVID-19 Vaccine.	Clin Exp Dermatol
34398369	New-onset status epilepticus in SARS-CoV-2 infection: a case series.	Neurol Sci
34397736	Postpartum extracorporeal membrane oxygenation of a woman with COVID-19-related acute respiratory distress syndrome: A case report.	Medicine (Baltimore)
34397495	Sulfasalazine-Induced Toxic Epidermal Necrolysis: A Challenging Case During the COVID-19 Pandemic.	Adv Emerg Nurs J
34397201	Herpes Zoster Following COVID-19 Vaccination.	J Drugs Dermatol
34397121	Peyronie's disease in a patient after COVID-19 infection: A case report.	Andrologia
34396587	Veno-arterial extracorporeal membrane oxygenation for COVID-19-associated acute myocardial injury complicated by refractory cardiogenic shock.	J Card Surg
34396455	COVID-19 Unveiling Brain Calcifications.	J Mol Neurosci
34396358	"Myocarditis following mRNA vaccination against SARS-CoV-2, a case series."	Am Heart J Plus
34396132	COVID-19 presenting with spontaneous massive pneumomediastinum in a three-month-old child.	Anaesth Rep
