pmid	title_e	journal
34425627	[Complaints and clinical findings six months after COVID-19: outpatient follow-up at the University Medical Center Freiburg].	Dtsch Med Wochenschr
34425544	Application of deep learning to identify COVID-19 infection in posteroanterior chest X-rays.	Clin Imaging
34425488	"Delirium is a good predictor for poor outcomes from coronavirus disease 2019 (COVID-19) pneumonia: A systematic review, meta-analysis, and meta-regression."	J Psychiatr Res
34425450	Evaluation of commercial SARS-CoV-2 serological assays in Canadian public health laboratories.	Diagn Microbiol Infect Dis
34425317	COVID-19 lung infection segmentation with a novel two-stage cross-domain transfer learning framework.	Med Image Anal
34425296	Placental histopathology after SARS-CoV-2 infection in pregnancy: a systematic review and meta-analysis.	Am J Obstet Gynecol MFM
34425044	The impact of COVID-19 on the sensitivity of D-dimer for pulmonary embolism.	Acad Emerg Med
34424838	Correlation of SARS-CoV-2 Subgenomic RNA with Antigen Detection in Nasal Midturbinate Swab Specimens.	Emerg Infect Dis
34424791	The diagnostic value of chest X-ray in coronavirus disease 2019: A comparative study of X-ray and CT.	Sci Prog
34424659	SARS-CoV-2 Point-of-Care (POC) Diagnosis Based on Commercial Pregnancy Test Strips and a Palm-Size Microfluidic Device.	Anal Chem
34424451	COVID-19-associated opportunistic infections: a snapshot on the current reports.	Clin Exp Med
34424122	SARS-COV-2 seroprevalence among all healthcare workers in a tertiary hospital in Spain.	Infect Dis (Lond)
34423922	Poor Prognosis of COVID-19 Acute Respiratory Distress Syndrome in Lupus Erythematosus: Nationwide Cross-Sectional Population Study Of 252 119 Patients.	ACR Open Rheumatol
34423917	Factors Associated With Hospitalization and Death After COVID-19 Diagnosis Among Patients With Rheumatic Disease: An Analysis of Veterans Affairs Data.	ACR Open Rheumatol
34423831	Chemosensory dysfunctions induced by COVID-19 can persist up to 7 months: A study of over 700 healthcare workers.	Chem Senses
34423593	Characterization of the Human Oropharyngeal Microbiomes in SARS-CoV-2 Infection and Recovery Patients.	Adv Sci (Weinh)
34423579	Sensing Inflammation Biomarkers with Electrolyte-Gated Organic Electronic Transistors.	Adv Healthc Mater
34423408	Cross-disciplinary approaches to assist with nucleic acid testing for SARS-CoV-2.	Appl Microbiol Biotechnol
34423353	Recent omics-based computational methods for COVID-19 drug discovery and repurposing.	Brief Bioinform
34423323	Discovery and validation of a three-gene signature to distinguish COVID-19 and other viral infections in emergency infectious disease presentations: a case-control and observational cohort study.	Lancet Microbe
34423261	"A fast, resource efficient, and reliable rule-based system for COVID-19 symptom identification."	JAMIA Open
34423066	Anti-SARS-CoV-2 Seropositivity Among Medical Students in Copenhagen.	Open Forum Infect Dis
34423043	Prognostic Value of Immune-Inflammatory Index in PSI IV-V Patients with COVID-19.	Biomed Res Int
34422966	Severe COVID-19 has a distinct phenotype from bacterial sepsis: a retrospective cohort study in deceased patients.	Ann Transl Med
34422860	Effect of Anticoagulant Administration on the Mortality of Hospitalized Patients With COVID-19: An Updated Systematic Review and Meta-Analysis.	Front Med (Lausanne)
34422854	Specific Features of the Coagulopathy Signature in Severe COVID-19 Pneumonia.	Front Med (Lausanne)
34422736	Age-Adjusted Associations Between Comorbidity and Outcomes of COVID-19: A Review of the Evidence From the Early Stages of the Pandemic.	Front Public Health
34422694	Clinical diagnosis of COVID-19. A multivariate logistic regression analysis of symptoms of COVID-19 at presentation.	Germs
34422621	ENT Symptomology in Active COVID-19 Patients in our Tertiary Care Centre.	Indian J Otolaryngol Head Neck Surg
34422577	Qatar Prediction Rule Using ED Indicators of COVID-19 at Triage.	Qatar Med J
34422549	Deep transfer learning for COVID-19 detection and infection localization with superpixel based segmentation.	Sustain Cities Soc
34422504	COVID-19 in Saudi Patients With Sickle Cell Disease: A Retrospective Multi-Center Study.	Cureus
34422503	"Prevalence, Pattern and Functional Outcome of Post COVID-19 Syndrome in Older Adults."	Cureus
34422436	Mass Spectrometry-Based Human Breath Analysis: Towards COVID-19 Diagnosis and Research.	J Anal Test
34422272	Inpatient glycemic control and outcome of COVID-19 patients: A retrospective cohort.	SAGE Open Med
34422204	Association of asthma comorbidity with poor prognosis of coronavirus disease 2019.	World Allergy Organ J
34422145	"Predictive Immunological, Virological, and Routine Laboratory Markers for Critical COVID-19 on Admission."	Can J Infect Dis Med Microbiol
34422123	[Lung ultrasound in COVID-19].	Wien Klin Mag
34422120	Computer-aided detection of COVID-19 from CT scans using an ensemble of CNNs and KSVM classifier.	Signal Image Video Process
34422043	The Association of Thyroid Hormone Changes with Inflammatory Status and Prognosis in COVID-19.	Int J Endocrinol
34422033	Optimal Diagnosis of COVID-19 Based on Convolutional Neural Network and Red Fox Optimization Algorithm.	Comput Intell Neurosci
34421905	Association of Ocular Surface Diseases With SARS-CoV-2 Infection in Six Districts of China: An Observational Cohort Study.	Front Immunol
34421495	Clinicians' Probability Calculator to Convert Pre-Test to Post-Test Probability of SARS-CoV-2 Infection Based on Method Validation from Each Laboratory.	EJIFCC
34421494	Predictive Model of Severity in SARS CoV-2 Patients at Hospital Admission Using Blood-Related Parameters.	EJIFCC
34421491	Clinical Assessment of the DiaSorin LIAISON SARS-CoV-2 Ag Chemiluminescence Immunoassay.	EJIFCC
34421342	Hybrid intelligent model for classifying chest X-ray images of COVID-19 patients using genetic algorithm and neutrosophic logic.	Soft comput
34421295	suPAR Cut-Offs for Risk Stratification in Patients With Symptoms of COVID-19.	Biomark Insights
34420902	Bacterial and fungal ventilator associated pneumonia in critically ill COVID-19 patients during the second wave.	J Infect Public Health
34420899	Predictive value of HbA1c for in-hospital adverse prognosis in COVID-19: A systematic review and meta-analysis.	Prim Care Diabetes
34420893	Management and Outcome of Coronavirus Disease 2019 (COVID-19) in Pediatric Cancer Patients: A Single Centre Experience from a Developing Country.	Clin Lymphoma Myeloma Leuk
34420546	The Relationship between Dietary Inflammatory Index (DII) and Disease Severity and Inflammatory Status: A Case-Control Study of COVID-19 Patients.	Br J Nutr
34420513	An update on novel approaches for diagnosis and treatment of SARS-CoV-2 infection.	Cell Biosci
34419971	Malnutrition in patients with COVID-19: assessment and consequences.	Curr Opin Clin Nutr Metab Care
34419923	Neutralisation titres against SARS-CoV-2 are sustained 6 months after onset of symptoms in individuals with mild COVID-19.	EBioMedicine
34419704	Antiviral treatment could not provide clinical benefit in management of mild COVID-19: A Retrospective Experience from Field hospital.	J Infect Public Health
34419576	Rate and severity of suspected SARS-Cov2 reinfection in a cohort of PCR-positive COVID-19 patients.	Clin Microbiol Infect
34419163	The Ichikado CT score as a prognostic tool for coronavirus disease 2019 pneumonia: a retrospective cohort study.	J Intensive Care
34419004	Risk factors for disease progression in Japanese patients with COVID-19 with no or mild symptoms on admission.	BMC Infect Dis
34418980	"Mortality-related risk factors of COVID-19: a systematic review and meta-analysis of 42 studies and 423,117 patients."	BMC Infect Dis
