pmid	title_e	journal
34423315	Multiplicative Holts Winter Model for Trend Analysis and Forecasting of COVID-19 Spread in India.	SN Comput Sci
34421230	Leveraging Weather Data for Forecasting Cases-to-Mortality Rates Due to COVID-19.	Chaos Solitons Fractals
34413555	Intelligent computing on time-series data analysis and prediction of COVID-19 pandemics.	Pattern Recognit Lett
34412892	Linear and non-linear dynamics of the epidemics: System identification based parametric prediction models for the pandemic outbreaks.	ISA Trans
34411132	An application of the ensemble Kalman filter in epidemiological modelling.	PLoS One
34407487	Implementation of Stacking Based ARIMA Model for Prediction of Covid-19 Cases in India.	J Biomed Inform
34403783	Predicting COVID-19 incidence in French hospitals using human contact network analytics.	Int J Infect Dis
34401225	Dynamics of a stochastic delay differential model for COVID-19 infection with asymptomatic infected and interacting people: Case study in the UAE.	Results Phys
34401224	Analysis of a discrete mathematical COVID-19 model.	Results Phys
34400853	Machine learning-based diffusion model for prediction of coronavirus-19 outbreak.	Neural Comput Appl
34400735	A particle swarm optimization approach for predicting the number of COVID-19 deaths.	Sci Rep
34397825	"Analysis and forecasting of confirmed, death, and recovered cases of COVID-19 infections in Nigeria: Implications for university administrators."	Medicine (Baltimore)
34395949	A simple mathematical tool to forecast COVID-19 cumulative case numbers.	Clin Epidemiol Glob Health
34395821	Predicting the epidemic curve of the coronavirus (SARS-CoV-2) disease (COVID-19) using artificial intelligence: An application on the first and second waves.	Inform Med Unlocked
34395184	Estimation of epidemiological parameters for COVID-19 cases using a stochastic SEIRS epidemic model with vital dynamics.	Results Phys
34395158	Propagation Analysis of COVID-19: An SIR Model-Based Investigation of the Pandemic.	Arab J Sci Eng
34394298	COVID-19 mortality rate prediction for India using statistical neural networks and gaussian process regression model.	Afr Health Sci
34393647	Enhanced bat algorithm for COVID-19 short-term forecasting using optimized LSTM.	Soft comput
34393475	Merits and Limitations of Mathematical Modeling and Computational Simulations in Mitigation of COVID-19 Pandemic: A Comprehensive Review.	Arch Comput Methods Eng
34393261	Assessing excess mortality in times of pandemics based on principal component analysis of weekly mortality data-the case of COVID-19.	Genus
34392001	A review of mathematical model-based scenario analysis and interventions for COVID-19.	Comput Methods Programs Biomed
34386789	"Estimating Under-recognized COVID-19 Deaths, United States, March 2020-May 2021 using an Excess Mortality Modelling Approach."	Lancet Reg Health Am
34386248	"Modelling COVID-19 outbreaks in USA with distinct testing, lockdown speed and fatigue rates."	R Soc Open Sci
34385538	A simple mathematical model for the evaluation of the long first wave of the COVID-19 pandemic in Brazil.	Sci Rep
34385518	Determination of critical decision points for COVID-19 measures in Japan.	Sci Rep
34381100	A modified SEIR model to predict the behavior of the early stage in coronavirus and coronavirus-like outbreaks.	Sci Rep
34381088	A differential equations model-fitting analysis of COVID-19 epidemiological data to explain multi-wave dynamics.	Sci Rep
34380721	Estimating spatiotemporal patterns of deaths by COVID-19 outbreak on a global scale.	BMJ Open
34380614	A general model for the demographic signatures of the transition from pandemic emergence to endemicity.	Sci Adv
34347175	"Comparison of ARIMA, ETS, NNAR, TBATS and hybrid models to forecast the second wave of COVID-19 hospitalizations in Italy."	Eur J Health Econ
34346897	Forecasting COVID-19 Hospital Census: A Multivariate Time-Series Model Based on Local Infection Incidence.	JMIR Public Health Surveill
34344916	"Modelling, prediction and design of COVID-19 lockdowns by stringency and duration."	Sci Rep
34343116	Modelling the evolution of the coronavirus disease (COVID-19) in Saudi Arabia.	J Infect Dev Ctries
34336986	"Monitoring and Forecasting COVID-19: Heuristic Regression, Susceptible-Infected-Removed Model and, Spatial Stochastic."	Front Appl Math Stat
34336563	On fractional approaches to the dynamics of a SARS-CoV-2 infection model including singular and non-singular kernels.	Results Phys
34335995	Long-term predictions of current confirmed and dead cases of COVID-19 in China by the non-autonomous delayed epidemic models.	Cogn Neurodyn
34335122	Grey forecasting models based on internal optimization for Novel Corona virus (COVID-19).	Appl Soft Comput
34334908	Systematic review of predictive mathematical models of COVID-19 epidemic.	Med J Armed Forces India
34328524	[The contribution of epidemiological models to the description of the outbreak of the COVID-19 pandemic].	Bundesgesundheitsblatt Gesundheitsforschung Gesundheitsschutz
34325717	Modelling the impact of delaying vaccination against SARS-CoV-2 assuming unlimited vaccine supply.	Theor Biol Med Model
34324605	Modeling neutral viral mutations in the spread of SARS-CoV-2 epidemics.	PLoS One
34320273	Discovering dynamic models of COVID-19 transmission.	Transbound Emerg Dis
34316402	Time series data analysis and ARIMA modeling to forecast the short-term trajectory of the acceleration of fatalities in Brazil caused by the corona virus (COVID-19).	PeerJ
