pmid	title_e	journal
34425415	Genome interaction of the virus and the host genes and non-coding RNAs in SARS-CoV-2 infection.	Immunobiology
34425240	"Brief report: Tempol, a novel antioxidant, inhibits both activated T cell and antigen presenting cell derived cytokines in-vitro from COVID-19 patients."	Clin Immunol
34424997	SARS-CoV-2-reactive T cell receptors isolated from convalescent COVID-19 patients confer potent T cell effector function.	Eur J Immunol
34424945	Acute SARS-CoV-2 infections harbor limited within-host diversity and transmit via tight transmission bottlenecks.	PLoS Pathog
34424815	In silico screening of Pueraria tuberosa (PTY-2) for targeting COVID-19 by countering dual targets M(pro) and TMPRSS2.	J Biomol Struct Dyn
34424256	Emergence of the First Strains of SARS-CoV-2 Lineage B.1.1.7 in Romania: Genomic Analysis.	JMIRx Med
34424156	The emerging role of perivascular cells (pericytes) in viral pathogenesis.	J Gen Virol
34424151	Venetoclax: a promising repurposed drug against SARS-CoV-2 main protease.	J Biomol Struct Dyn
34424130	The role of GLP-1 receptor agonists during COVID-19 pandemia: a hypothetical molecular mechanism.	Expert Opin Drug Saf
34423606	Captopril alleviates lung inflammation in SARS-CoV-2-infected hypertensive mice.	Zool Res
34423563	Drug Repurposing for the SARS-CoV-2 Papain-Like Protease.	ChemMedChem
34423318	Fluorogenic in vitro activity assay for the main protease M(pro) from SARS-CoV-2 and its adaptation to the identification of inhibitors.	STAR Protoc
34423145	Drugs repurposing against SARS-CoV2 and the new variant B.1.1.7 (Alpha Strain) targeting the spike protein: Molecular docking and Simulation studies.	Heliyon
34423108	A network-based systems biology approach for identification of shared Gene signatures between male and female in COVID-19 datasets.	Inform Med Unlocked
34422917	"Clinical Implications of IL-32, IL-34 and IL-37 in Atherosclerosis: Speculative Role in Cardiovascular Manifestations of COVID-19."	Front Cardiovasc Med
34422699	Perspectives on passive antibody therapy and peptide-based vaccines against emerging pathogens like SARS-CoV-2.	Germs
34421902	BCG Vaccine Derived Peptides Induce SARS-CoV-2 T Cell Cross-Reactivity.	Front Immunol
34421600	NETosis and the Immune System in COVID-19: Mechanisms and Potential Treatments.	Front Pharmacol
34421587	The Hyperlipidaemic Drug Fenofibrate Significantly Reduces Infection by SARS-CoV-2 in Cell Culture Models.	Front Pharmacol
34421325	Repurposing the inhibitors of COVID-19 key proteins through molecular docking approach.	Process Biochem
34421291	Coronavirus disease and male fertility: a systematic review.	Middle East Fertil Soc J
34421159	Structural Deformability Induced in Proteins of Potential Interest Associated with COVID-19 by binding of Homologues present in Ivermectin: Comparative Study Based in Elastic Networks Models.	J Mol Liq
34421121	Deep survey for designing a vaccine against SARS-CoV-2 and its new mutations.	Biologia (Bratisl)
34420994	"The secret identities of TMPRSS2: Fertility factor, virus trafficker, inflammation moderator, prostate protector and tumor suppressor."	Tumour Biol
34420993	"The expression of hACE2 receptor protein and its involvement in SARS-CoV-2 entry, pathogenesis, and its application as potential therapeutic target."	Tumour Biol
34420786	Immunisation of ferrets and mice with recombinant SARS-CoV-2 spike protein formulated with Advax-SM adjuvant protects against COVID-19 infection.	Vaccine
34420502	Cordycepin as a Promising Inhibitor of SARS-CoV-2 RNA dependent RNA polymerase (RdRp).	Curr Med Chem
34420372	Distinct Regulation of U-ACE2 and P-ACE2 (Urinary and Plasma Angiotensin-Converting Enzyme 2) in a Japanese General Population.	Hypertension
34420183	Evaluating Stability and Activity of SARS-CoV-2 PLpro for High-throughput Screening of Inhibitors.	Mol Biotechnol
34419773	"Which ones, when and why should renin-angiotensin system inhibitors work against COVID-19?"	Adv Biol Regul
34419736	Effect of dihydromyricetin on SARS-CoV-2 viral replication and pulmonary inflammation and fibrosis.	Phytomedicine
34419671	Association of Apolipoprotein e polymorphism with SARS-CoV-2 infection.	Infect Genet Evol
34419496	An angiotensin-converting enzyme-2-derived heptapeptide GK-7 for SARS-CoV-2 spike blockade.	Peptides
34419160	Characterization of SARS-CoV-2 worldwide transmission based on evolutionary dynamics and specific viral mutations in the spike protein.	Infect Dis Poverty
34418570	Challenges of short substrate analogues as SARS-CoV-2 main protease inhibitors.	Bioorg Med Chem Lett
34418279	"Tissue factor expression, extracellular vesicles and thrombosis after infection with the respiratory viruses influenza A virus and coronavirus."	J Thromb Haemost
34418270	2-Deoxy-D-glucose Exploits Increased Glucose Metabolism in Cancer and Viral- infected cells: Relevance to its use in INDIA Against SARS-CoV-2.	IUBMB Life
34417704	Neurological manifestations of COVID-19 in patients: from path physiology to therapy.	Neurol Sci
34417590	mRNA-1273 protects against SARS-CoV-2 beta infection in nonhuman primates.	Nat Immunol
34417462	Haplotype-resolved de novo assembly of the Vero cell line genome.	NPJ Vaccines
