pmid	title_e	journal
34424945	Acute SARS-CoV-2 infections harbor limited within-host diversity and transmit via tight transmission bottlenecks.	PLoS Pathog
34423766	"Transmission of Severe Acute Respiratory Syndrome Coronavirus 2 to Close Contacts, China, January-February 2020."	Emerg Infect Dis
34421291	Coronavirus disease and male fertility: a systematic review.	Middle East Fertil Soc J
34419986	Aerosol Transmission of Infectious Disease and the Efficacy of Personal Protective Equipment (PPE): A Systematic Review.	J Occup Environ Med
34419160	Characterization of SARS-CoV-2 worldwide transmission based on evolutionary dynamics and specific viral mutations in the spike protein.	Infect Dis Poverty
34419084	In-flight transmission of wild-type SARS-CoV-2 and the outbreak potential of imported clusters of COVID-19: a review of published evidence.	Global Health
34416262	Screening Students and Staff for Asymptomatic COVID-19 in Chicago Schools.	J Pediatr
34415346	Occupational management of healthcare workers exposed to COVID-19.	Occup Med (Lond)
34414075	Ocular manifestations and SARS-CoV-2 detection in tears and conjunctival scrape from non-severe COVID-19 patients.	Int J Ophthalmol
34413294	The risk of indoor sports and culture events for the transmission of COVID-19.	Nat Commun
34413053	Youth ice hockey COVID-19 protocols and prevention of sport-related transmission.	Br J Sports Med
34411759	"The nexus between in-car aerosol concentrations, ventilation and the risk of respiratory infection."	Environ Int
34406913	SARS-CoV-2 natural infection in animals: A systematic review of studies and case reports and series.	Vet Q
34406830	Higher concentrations of bacterial enveloped virus Phi6 can protect the virus from environmental decay.	Appl Environ Microbiol
34406425	[COVID-19 with respect to occupational healthcare and public health services].	Internist (Berl)
34405139	The importation and establishment of community transmission of SARS-CoV-2 during the first eight weeks of the South African COVID-19 epidemic.	EClinicalMedicine
34405082	"Wastewater aerosols produced during flushing toilets, WWTPs, and irrigation with reclaimed municipal wastewater as indirect exposure to SARS-CoV-2."	J Environ Chem Eng
34404780	High COVID-19 transmission potential associated with re-opening universities can be mitigated with layered interventions.	Nat Commun
34404778	SARS-CoV-2 disease severity and transmission efficiency is increased for airborne compared to fomite exposure in Syrian hamsters.	Nat Commun
34404734	The animal origin of SARS-CoV-2.	Science
34404718	Do school closures and school reopenings affect community transmission of COVID-19? A systematic review of observational studies.	BMJ Open
34404155	[Distribution and infectious characteristics of re-positive cases infected with SARS-CoV-2].	Zhonghua Liu Xing Bing Xue Za Zhi
34404118	Natural infection of Delta mutant of SARS-CoV-2 in Asiatic Lions of India.	Transbound Emerg Dis
34403765	Air dispersal of multidrug-resistant Acinetobacter baumannii: implication in nosocomial transmission during COVID-19 pandemic.	J Hosp Infect
34403755	"Analysis of COVID-19 outbreaks in three long-term care facilities in Graz, Austria."	Am J Infect Control
34402155	Impact of the SARS-CoV-2 Virus on Male Reproductive Health.	BJU Int
34401711	Environmental factors and their role in the transmission of SARS-CoV-2.	Biosaf Health
34401689	Changing composition of SARS-CoV-2 lineages and rise of Delta variant in England.	EClinicalMedicine
34401458	"Wild animal and zoonotic disease risk management and regulation in China: Examining gaps and One Health opportunities in scope, mandates, and monitoring systems."	One Health
34400345	Combined epidemiological and genomic analysis of nosocomial SARS-CoV-2 infection early in the pandemic and the role of unidentified cases in transmission.	Clin Microbiol Infect
34399209	Extended short-range airborne transmission of respiratory infections.	J Hazard Mater
34399085	"Severe Acute Respiratory Syndrome Coronavirus 2 Transmission in Georgia, USA, February 1-July 13, 2020."	Emerg Infect Dis
34398375	Effects of climate variables on the transmission of COVID-19: a systematic review of 62 ecological studies.	Environ Sci Pollut Res Int
34398179	Association of Age and Pediatric Household Transmission of SARS-CoV-2 Infection.	JAMA Pediatr
34398101	A Multidisciplinary Approach and Review of Safety Recommendations for Plastic Surgeons during the COVID-19 Pandemic: Are N95 Masks Enough?	Plast Reconstr Surg
