pmid,title,keywords,abstract,labels
34424945,Acute SARS-CoV-2 infections harbor limited within-host diversity and transmit via tight transmission bottlenecks.,,"The emergence of divergent SARS-CoV-2 lineages has raised concern that novel variants eliciting immune escape or the ability to displace circulating lineages could emerge within individual hosts. Though growing evidence suggests that novel variants arise during prolonged infections, most infections are acute. Understanding how efficiently variants emerge and transmit among acutely-infected hosts is therefore critical for predicting the pace of long-term SARS-CoV-2 evolution. To characterize how within-host diversity is generated and propagated, we combine extensive laboratory and bioinformatic controls with metrics of within- and between-host diversity to 133 SARS-CoV-2 genomes from acutely-infected individuals. We find that within-host diversity is low and transmission bottlenecks are narrow, with very few viruses founding most infections. Within-host variants are rarely transmitted, even among individuals within the same household, and are rarely detected along phylogenetically linked infections in the broader community. These findings suggest that most variation generated within-host is lost during transmission.",Mechanism;Transmission
34423766,"Transmission of Severe Acute Respiratory Syndrome Coronavirus 2 to Close Contacts, China, January-February 2020.",,"We estimated the symptomatic, PCR-confirmed secondary attack rate (SAR) for 2,382 close contacts of 476 symptomatic persons with coronavirus disease in Yichang, Hubei Province, China, identified during January 23-February 25, 2020. The SAR among all close contacts was 6.5%; among close contacts who lived with an index case-patient, the SAR was 10.8%; among close-contact spouses of index case-patients, the SAR was 15.9%. The SAR varied by close contact age, from 3.0% for those <18 years of age to 12.5% for those >60 years of age. Multilevel logistic regression showed that factors significantly associated with increased SAR were living together, being a spouse, and being >60 years of age. Multilevel regression did not support SAR differing significantly by whether the most recent contact occurred before or after the index case-patient's onset of illness (p = 0.66). The relatively high SAR for coronavirus disease suggests relatively high virus transmissibility.",Transmission
34421291,Coronavirus disease and male fertility: a systematic review.,,"Background: Based on the information from other SARS-CoV infections in the patients recovered from COVID-19, particularly cases in the reproductive age, gonadal function evaluation and andrological consultation comprising semen analysis are recommended. Main body: Based on the COVID-19 infected patients' seminal fluid analyses, SARS-CoV-2 may employ the male reproductive system as a transmission pathway. It has been also demonstrated that angiotensin-converting enzyme 2 (ACE2) can be strongly expressed at the protein levels in the testicular cells. The high expression of ACE2 in testes suggests that testes in the COVID-19 infected males can have an important role in the viral persistence and this subject needs further investigations. Several researchers have examined males recovered from COVID-19, but still, large-scale experiments are needed to determine the effects of SARS-CoV-2 on the male reproductive system as well as viral transmission risk. Conclusion: Comprehensive researches are required to figure out the presence of the SARS-CoV-2 virus in seminal fluid as well as its sexual transmissibility and impact on sperm characteristics.",Mechanism;Transmission
34419986,Aerosol Transmission of Infectious Disease and the Efficacy of Personal Protective Equipment (PPE): A Systematic Review.,,"OBJECTIVE: Health care professionals and governmental agencies are in consensus regarding contact and droplet transmission of infectious diseases. However, personal protective equipment (PPE) efficacy is not considered for aerosol or airborne transmission of infectious diseases. This review discusses the inhalation of virus-laden aerosols as a viable mechanism of transmission of various respiratory infectious diseases and PPE efficacy. METHODS: The Preferred Reporting Items for Systematic reviews, and Meta-Analysis (PRISMA) guidelines was used. RESULTS: The transmission of infectious disease is of concern for all respirable diseases discussed (SARS-CoV-1, SARS-CoV-2, MERS, influenza, and tuberculosis), and the effectiveness of facemasks is dependent on the efficiency of the filter, fit, and proper use. CONCLUSION: PPE should be the last resort in preventing the spread of infectious disease and should only be used for protection and not to control the transmission.",Prevention;Transmission
34419160,Characterization of SARS-CoV-2 worldwide transmission based on evolutionary dynamics and specific viral mutations in the spike protein.,,"BACKGROUND: The coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome-related coronavirus-2 (SARS-CoV-2) is pandemic. However, the origins and global transmission pattern of SARS-CoV-2 remain largely unknown. We aimed to characterize the origination and transmission of SARS-CoV-2 based on evolutionary dynamics. METHODS: Using the full-length sequences of SARS-CoV-2 with intact geographic, demographic, and temporal information worldwide from the GISAID database during 26 December 2019 and 30 November 2020, we constructed the transmission tree to depict the evolutionary process by the R package ""outbreaker"". The affinity of the mutated receptor-binding region of the spike protein to angiotensin-converting enzyme 2 (ACE2) was predicted using mCSM-PPI2 software. Viral infectivity and antigenicity were tested in ACE2-transfected HEK293T cells by pseudovirus transfection and neutralizing antibody test. RESULTS: From 26 December 2019 to 8 March 2020, early stage of the COVID-19 pandemic, SARS-CoV-2 strains identified worldwide were mainly composed of three clusters: the Europe-based cluster including two USA-based sub-clusters; the Asia-based cluster including isolates in China, Japan, the USA, Singapore, Australia, Malaysia, and Italy; and the USA-based cluster. The SARS-CoV-2 strains identified in the USA formed four independent clades while those identified in China formed one clade. After 8 March 2020, the clusters of SARS-CoV-2 strains tended to be independent and became ""pure"" in each of the major countries. Twenty-two of 60 mutations in the receptor-binding domain of the spike protein were predicted to increase the binding affinity of SARS-CoV-2 to ACE2. Of all predicted mutants, the number of E484K was the largest one with 86 585 sequences, followed by S477N with 55 442 sequences worldwide. In more than ten countries, the frequencies of the isolates with E484K and S477N increased significantly. V367F and N354D mutations increased the infectivity of SARS-CoV-2 pseudoviruses (P < 0.001). SARS-CoV-2 with V367F was more sensitive to the S1-targeting neutralizing antibody than the wild-type counterpart (P < 0.001). CONCLUSIONS: SARS-CoV-2 strains might have originated in several countries simultaneously under certain evolutionary pressure. Travel restrictions might cause location-specific SARS-CoV-2 clustering. The SARS-CoV-2 evolution appears to facilitate its transmission via altering the affinity to ACE2 or immune evasion.",Mechanism;Transmission
34419084,In-flight transmission of wild-type SARS-CoV-2 and the outbreak potential of imported clusters of COVID-19: a review of published evidence.,,"International air travel has been highlighted as a concern since the beginning of the COVID-19 pandemic with respect to importation of cases. We summarise the available evidence for in-flight transmission of wild type SARS-CoV-2 during 2020, and for imported COVID-19 clusters to cause outbreaks. This paper provides a data baseline prior to the emergence of new mutations causing SARS-CoV-2 variants of concern, whose characteristics may increase the potential risk of in-flight transmission and imported outbreaks. The evidence on in-flight transmission of wild-type SARS-CoV-2 is limited, and is described in a small number of published reports. Most of the available evidence pertains to the early phase of the COVID-19 pandemic, during a period without non-pharmaceutical interventions such as distancing and in-flight mask wearing. There is considerable potential for outbreaks of COVID-19 from imported cases or clusters when public health guidance around quarantine of travellers and self-isolation of cases is not adhered to. Risks can be mitigated by measures such as: avoiding non-essential travel, targeted testing and quarantine of travellers from high incidence regions or regions of concern, managed quarantine processes, and protocols for rapid investigation and control of transmission from a possible variant of concern. Measures should be dynamically assessed and proportionate to the level of risk.",Prevention;Transmission
34416262,Screening Students and Staff for Asymptomatic COVID-19 in Chicago Schools.,,"OBJECTIVES: To assess rates of asymptomatic SARS-CoV-2 positivity in K-8 schools with risk mititgation procedures in place, and to evaluate SARS-CoV-2 transmission in school and household contacts of these positive individuals. STUDY DESIGN: In this prospective observational study, screening testing for SARS-CoV-2 was performed by oropharyngeal swabbing and PCR in students and staff at K-8 private schools in high-risk Chicago zip codes. New COVID-19 diagnoses or symptoms among participants, household contacts, and non-participants in each school were queried. RESULTS: Among 11 K-8 private schools across 8 Chicago zip codes, 468 participants (346 students, 122 staff members) underwent screening testing. At the first school, 17 participants (36%) tested positive, but epidemiologic investigation suggested against in-school transmission. Only 5 participants in the subsequent 10 schools tested positive for an overall 4.7% positivity rate (1.2% excluding School 1). All but one positive test among in-person students had high PCR cycle threshold values, suggesting very low SARS-CoV-2 viral loads. In all schools, no additional students, staff, or household contacts reported new diagnoses or symptoms of COVID-19 during the two weeks following screening testing. CONCLUSIONS: We identified infrequent asymptomatic COVID-19 in schools in high-risk Chicago communities and did not identify transmission among school staff, students, or their household contacts. These data suggest that COVID-19 mitigation procedures, including masking and physical distancing, are effective in preventing transmission of COVID-19 in schools. These results may inform future strategies for screening testing in K-8 schools.",Diagnosis;Prevention;Transmission
34415346,Occupational management of healthcare workers exposed to COVID-19.,,"BACKGROUND: The year 2020 was marked by the new coronavirus pandemic, resulting in millions of cases and deaths, placing healthcare workers at high risk of infection. AIMS: The aim of this study was to describe the role of an occupational health service during coronavirus disease 2019 pandemic in an oncologic hospital and characterize the most likely sources of viral infection. METHODS: The information of all healthcare workers with severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection from 11 March to 15 December 2020 was collected through an epidemiological survey conducted during contact tracing. The data extracted included gender, age, comorbidities, occupational group, source of infection, clinical presentation, duration of the disease, need for hospitalization and persistent or late symptoms after disease or upon returning to work. RESULTS: Out of a total of 2300 workers, 157 were infected, consisting of nurses (36%), nurse assistants (33%) and diagnostic and therapeutic professionals (10%). Physicians and administrative staff accounted for 8% each. The most frequently reported source of infection was occupational (43%), owing to worker-to-worker transmission (45%) and patient-to-worker transmission (36%). The most frequent moments of infection perceived corresponded to the removal of protective equipment during meals and moments of rest in the staff and changing rooms. CONCLUSIONS: The study revealed that occupational transmission from patients and colleagues might be an important source of SARS-CoV-2 infection in healthcare workers. Spread between colleagues accounted for 45% of the occupational source infections reported. Implementing physical distancing measures and limiting the number of people in changing and rest rooms could significantly reduce infection and related absenteeism.",Prevention;Transmission
34414075,Ocular manifestations and SARS-CoV-2 detection in tears and conjunctival scrape from non-severe COVID-19 patients.,,"AIM: To explore the ocular features of corona virus disease (COVID)-19 and severe acute respiratory syndrome coronavirus (SARS-CoV)-2 detection in tears and conjunctival scrapes in non-severe COVID-19 patients. METHODS: This is a multicenter observational clinical study with no intervention conducted from Jan 25(th) to March 1(st), 2020. Clinical data and samples of tears and conjunctival scraping were collected in consecutive laboratory-confirmed, non-severe COVID-19 patients from three hospitals. COVID-19 virus was analyzed by real-time reverse transcriptase polymerase chain reaction (RT-PCR) kits. RESULTS: Totally 255 laboratory-confirmed, non-severe COVID-19 patients were recruited for ocular manifestation investigation. Of them, 54.9% were females, with a mean age of 49.4y. None of the patients has evidence of uveitis; 11 patients (4.3%) complained of mild asthenopia; 2 (0.8%) had mild conjunctival congestion and serous secretion. Twenty-five of them had performed tears and conjunctival scrape for COVID-19 virus detection, with 4 yield possible positive results in the nucleoprotein gene. One of them were asymptomatic with normal chest CT and positive pharyngeal swab result. CONCLUSION: Ocular manifestations are neither common nor specific in non-severe COVID-19 patients. Meanwhile, COVID-19 virus nucleotides can be detected in the tears and conjunctival scrape samples, warranting further research on the transmissibility by the ocular route.",Diagnosis;Transmission
34413294,The risk of indoor sports and culture events for the transmission of COVID-19.,,"Nearly all mass gathering events worldwide were banned at the beginning of the COVID-19 pandemic, as they were suspected of presenting a considerable risk for the transmission of SARS-CoV-2. We investigated the risk of transmitting SARS-CoV-2 by droplets and aerosols during an experimental indoor mass gathering event under three different hygiene practices, and used the data in a simulation study to estimate the resulting burden of disease under conditions of controlled epidemics. Our results show that the mean number of measured direct contacts per visitor was nine persons and this can be reduced substantially by appropriate hygiene practices. A comparison of two versions of ventilation with different air exchange rates and different airflows found that the system which performed worst allowed a ten-fold increase in the number of individuals exposed to infectious aerosols. The overall burden of infections resulting from indoor mass gatherings depends largely on the quality of the ventilation system and the hygiene practices. Presuming an effective ventilation system, indoor mass gathering events with suitable hygiene practices have a very small, if any, effect on epidemic spread.",Prevention;Transmission
