Case Report,Diagnosis,Epidemic Forecasting,Mechanism,Prevention,Transmission,Treatment,pmid
0,1,0,1,1,1,1,32788071
0,0,0,0,1,0,0,33011335
0,0,0,0,1,0,0,32341722
0,0,1,0,1,0,0,32864224
0,0,0,0,1,1,0,32880558
0,0,0,0,1,0,0,32563581
0,0,0,0,1,0,0,32997641
0,1,0,0,0,0,0,32730215
0,0,0,0,0,0,1,32559820
0,1,0,0,0,0,1,32716922
0,0,0,0,1,0,0,33072340
0,0,0,0,1,0,0,32834699
0,0,0,0,1,0,0,32388136
0,0,0,0,1,0,0,32838157
0,0,0,0,1,0,0,32356047
0,0,0,0,1,0,0,32470131
0,0,0,0,1,0,0,32724002
0,0,0,0,0,0,1,33034695
0,0,0,0,1,0,0,32807565
0,0,0,0,1,0,0,32882074
0,1,0,0,0,0,1,32706293
0,0,0,0,1,1,0,32621859
0,0,0,0,1,0,0,33006676
0,1,0,0,0,0,1,33041057
0,0,1,0,0,0,0,32839733
0,0,0,1,0,0,1,32392072
0,0,0,0,1,0,0,33038310
0,1,0,0,0,0,0,32416599
0,0,0,0,1,0,0,32761123
0,1,0,0,0,0,1,32623632
0,0,0,0,1,0,0,32396601
0,0,0,0,1,0,0,32838040
0,0,0,1,0,0,1,32534226
0,1,0,0,0,0,1,32799392
0,0,0,0,0,0,1,32937800
1,0,0,0,0,0,0,32930820
0,0,0,0,1,0,0,32709733
0,0,0,1,0,0,1,32442437
0,0,0,0,1,0,0,32419401
1,0,0,0,0,0,0,32574337
0,0,0,1,0,0,0,32834891
0,0,0,0,0,0,1,32474476
0,1,0,0,0,0,0,32733706
0,0,0,1,0,0,1,32978729
0,1,0,0,1,0,0,32451194
0,1,0,0,1,0,0,33004002
0,1,0,0,0,0,1,32727345
0,0,1,0,1,0,0,34251243
0,0,0,0,1,0,0,32782767
1,0,0,0,0,0,0,32584397
0,0,0,1,0,0,1,32941783
0,1,0,0,0,0,1,32696763
0,1,0,0,0,0,0,32662396
0,0,0,0,1,0,0,32524956
0,0,0,1,0,0,1,32416679
0,0,0,0,1,0,0,32472974
0,0,0,0,1,0,0,32541251
0,0,0,0,1,0,0,32702560
0,0,0,1,0,0,1,32765270
0,0,0,0,1,0,0,32335697
0,0,0,0,1,0,0,32788769
0,1,0,0,0,0,0,32505777
0,0,0,0,1,0,0,32953842
0,0,0,0,1,1,0,34146809
0,0,0,1,0,0,1,32512490
0,0,0,0,1,0,0,32277236
0,0,0,0,1,0,0,32712116
0,1,0,0,0,0,0,32876207
0,1,0,1,0,0,0,32109279
0,0,0,0,0,1,0,34396958
0,0,0,1,0,0,1,32563187
0,0,0,0,1,0,0,32541583
0,0,0,0,1,0,0,32693023
0,0,0,0,1,0,0,32956236
0,1,0,0,0,0,1,33075408
0,0,0,0,1,0,0,32842293
0,0,0,1,0,0,1,32869854
1,0,0,0,0,0,0,32890723
0,0,0,0,1,0,0,32903195
0,1,0,0,0,0,0,32620590
0,1,0,1,1,1,0,32322993
0,1,0,0,0,0,1,32446978
1,0,0,0,0,0,0,32834987
0,0,0,0,1,0,0,32916972
0,0,0,0,1,1,0,33895227
0,0,0,0,1,0,0,32530033
0,0,0,0,1,0,0,32482759
1,0,0,0,0,0,0,32741394
0,0,0,0,1,0,0,32267209
0,1,0,0,0,0,1,32416069
0,0,0,0,0,0,1,32646657
0,0,0,0,1,0,1,32077661
0,1,0,0,0,0,0,32580948
0,1,0,1,0,0,0,32799894
0,1,0,0,0,0,0,32916926
0,0,0,1,0,0,1,32628969
0,1,0,0,0,0,1,33069725
1,0,0,0,0,0,0,32689586
0,1,0,0,0,0,0,32383254
0,0,0,0,0,0,1,32389025
0,0,0,0,0,0,1,32665039
0,0,0,0,0,0,1,32560745
0,0,0,1,0,0,1,32850989
0,0,0,0,0,0,1,33063053
0,0,0,0,1,0,0,32802216
0,1,0,1,1,0,0,32715310
0,0,0,0,0,0,1,32658716
0,1,0,0,0,0,0,32890414
0,0,0,0,0,0,1,32164087
1,0,0,0,0,0,0,32642391
0,0,0,1,0,0,0,32183941
0,0,0,0,1,1,0,34138866
0,1,0,0,1,0,0,32815351
0,0,0,1,0,0,1,32608329
0,0,0,1,0,0,1,32651067
0,1,0,0,1,0,0,32554619
0,0,0,0,1,1,0,34324882
0,0,0,0,1,0,0,32949881
0,1,0,0,0,1,0,32491982
0,0,0,0,1,0,0,32186277
0,1,0,0,0,0,1,32589164
0,0,0,0,1,0,0,32918076
0,1,0,0,0,0,1,32862753
0,0,0,1,0,0,1,32864299
0,0,0,0,1,0,0,32667069
0,0,0,0,1,0,0,32837836
0,0,0,0,1,0,0,32532460
0,1,0,0,0,0,1,33047431
1,0,0,0,0,0,0,32709772
1,0,0,0,0,0,0,32267998
0,0,0,0,1,0,0,32999543
0,0,0,0,1,0,0,32501305
0,0,0,1,0,0,0,32368569
0,0,0,0,1,0,0,32519594
0,0,0,0,1,0,0,32787916
0,0,0,0,1,1,0,34162550
0,0,0,1,0,1,0,33312128
0,1,0,0,0,0,0,33035133
0,0,0,0,1,0,0,32829726
0,0,0,0,0,0,1,32454888
0,1,0,0,0,0,1,32838154
0,1,0,0,0,0,1,32805546
